algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,20,7467,106,369,0.09,True
DFS,20,9024,2562,7147,0.56,True
DFSL,20,54,inf,inf,0.0,False
UCS1,20,7461,106,369,0.09,True
UCS2,20,7488,369,369,0.09,True
Random,20,1179,4473,11213,0.02,True
A*,20,124,106,369,0.0,True
BFS,21,8927,160,367,0.11,True
DFS,21,6423,5852,16227,0.26,True
DFSL,21,33,inf,inf,0.0,False
UCS1,21,8935,160,367,0.11,True
UCS2,21,8586,367,367,0.11,True
Random,21,1913,inf,inf,0.04,False
A*,21,321,160,367,0.0,True
BFS,22,279,12,45,0.0,True
DFS,22,3362,3144,8713,0.07,True
DFSL,22,87,inf,inf,0.0,False
UCS1,22,246,12,45,0.0,True
UCS2,22,808,45,45,0.01,True
Random,22,2422,inf,inf,0.04,False
A*,22,14,12,45,0.0,True
BFS,23,2038,37,119,0.02,True
DFS,23,4118,3719,10457,0.09,True
DFSL,23,73,inf,inf,0.0,False
UCS1,23,2008,37,119,0.02,True
UCS2,23,2737,119,119,0.03,True
Random,23,1724,inf,inf,0.04,False
A*,23,71,37,119,0.0,True
BFS,24,253,12,25,0.0,True
DFS,24,9164,542,1511,0.52,True
DFSL,24,66,inf,inf,0.0,False
UCS1,24,274,12,25,0.0,True
UCS2,24,259,25,25,0.0,True
Random,24,1883,inf,inf,0.04,False
A*,24,16,12,25,0.0,True
BFS,25,5517,67,260,0.06,True
DFS,25,4890,4575,12668,0.15,True
DFSL,25,68,inf,inf,0.0,False
UCS1,25,5426,67,260,0.07,True
UCS2,25,6344,260,260,0.08,True
Random,25,2100,inf,inf,0.04,False
A*,25,140,67,260,0.0,True
BFS,26,3212,71,108,0.04,True
DFS,26,8695,3811,10512,0.51,True
DFSL,26,81,inf,inf,0.0,False
UCS1,26,3214,71,108,0.04,True
UCS2,26,3191,108,108,0.04,True
Random,26,1585,inf,inf,0.04,False
A*,26,1095,71,108,0.01,True
BFS,27,6933,66,183,0.08,True
DFS,27,4775,4516,12441,0.15,True
DFSL,27,75,inf,inf,0.0,False
UCS1,27,6876,66,183,0.09,True
UCS2,27,8032,183,183,0.1,True
Random,27,2392,8842,22147,0.04,True
A*,27,127,66,183,0.0,True
BFS,28,2032,55,74,0.02,True
DFS,28,2615,2457,6782,0.04,True
DFSL,28,69,inf,inf,0.0,False
UCS1,28,2039,55,74,0.02,True
UCS2,28,1802,74,74,0.02,True
Random,28,825,3666,9164,0.01,True
A*,28,543,55,74,0.01,True
BFS,29,3402,44,74,0.04,True
DFS,29,5199,4842,13360,0.16,True
DFSL,29,44,inf,inf,0.0,False
UCS1,29,3489,44,74,0.04,True
UCS2,29,2389,74,74,0.03,True
Random,29,1477,inf,inf,0.04,False
A*,29,414,44,74,0.0,True
