algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
DFSL,20,60,inf,inf,0.0,False
UCS1,20,588,23,47,0.01,True
UCS2,20,437,47,47,0.01,True
Random,20,289,inf,inf,0.0,False
A*,20,48,23,47,0.0,True
BFS,21,321,20,50,0.0,True
DFS,21,9256,inf,inf,0.58,False
DFSL,21,47,inf,inf,0.0,False
UCS1,21,321,20,50,0.0,True
UCS2,21,348,50,50,0.0,True
Random,21,214,inf,inf,0.0,False
A*,21,110,20,50,0.0,True
BFS,22,4026,61,190,0.05,True
DFS,22,141,141,414,0.0,True
DFSL,22,84,inf,inf,0.0,False
UCS1,22,3929,61,190,0.05,True
UCS2,22,6680,190,190,0.08,True
Random,22,248,537,1396,0.0,True
A*,22,179,61,190,0.0,True
BFS,23,7529,103,367,0.09,True
DFS,23,9178,inf,inf,0.53,False
DFSL,23,60,inf,inf,0.0,False
UCS1,23,7509,103,367,0.09,True
UCS2,23,7639,367,367,0.1,True
Random,23,256,inf,inf,0.0,False
A*,23,197,103,367,0.0,True
BFS,24,3315,43,52,0.04,True
DFS,24,9184,inf,inf,0.52,False
DFSL,24,94,inf,inf,0.0,False
UCS1,24,3405,43,52,0.05,True
UCS2,24,1191,52,52,0.02,True
Random,24,255,inf,inf,0.0,False
A*,24,254,43,52,0.0,True
BFS,25,1406,28,106,0.02,True
DFS,25,9176,30,112,0.49,True
DFSL,25,66,inf,inf,0.0,False
UCS1,25,1326,28,106,0.02,True
UCS2,25,2312,106,106,0.03,True
Random,25,198,inf,inf,0.0,False
A*,25,30,28,106,0.0,True
BFS,26,1638,30,93,0.02,True
DFS,26,9200,inf,inf,0.53,False
DFSL,26,78,inf,inf,0.0,False
UCS1,26,1608,30,93,0.02,True
UCS2,26,3640,93,93,0.05,True
Random,26,310,inf,inf,0.0,False
A*,26,34,30,93,0.0,True
BFS,27,4244,74,129,0.05,True
DFS,27,9208,inf,inf,0.56,False
DFSL,27,72,inf,inf,0.0,False
UCS1,27,4244,74,129,0.05,True
UCS2,27,5506,129,129,0.07,True
Random,27,315,inf,inf,0.0,False
A*,27,988,74,129,0.01,True
BFS,28,1440,30,78,0.02,True
DFS,28,9222,inf,inf,0.52,False
DFSL,28,109,inf,inf,0.0,False
UCS1,28,1436,30,78,0.02,True
UCS2,28,2502,78,78,0.03,True
Random,28,252,inf,inf,0.0,False
A*,28,35,30,78,0.0,True
BFS,29,4837,74,211,0.06,True
DFS,29,9232,inf,inf,0.55,False
DFSL,29,56,inf,inf,0.0,False
UCS1,29,4903,74,211,0.06,True
UCS2,29,3820,211,211,0.05,True
Random,29,362,inf,inf,0.0,False
A*,29,605,74,211,0.01,True
