algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
BFS,16,2484,42,151,0.37276649475097656,True
DFS,16,4581,3895,10697,0.8796422481536865,True
DFS_Limited,16,111,inf,inf,0.017011404037475586,False
UCS_1,16,2502,42,75,0.3760998249053955,True
UCS_2,16,1028,47,47,0.15744447708129883,True
Random,16,5,inf,inf,0.0,False
A*,16,101,27,50,0.015028715133666992,True
BFS,17,8507,111,413,1.2798852920532227,True
DFS,17,3144,2912,8275,0.5511751174926758,True
DFS_Limited,17,206,inf,inf,0.02962183952331543,False
UCS_1,17,8465,111,413,1.304706335067749,True
UCS_2,17,8766,413,413,1.3287549018859863,True
Random,17,22,inf,inf,0.0,False
A*,17,142,111,413,0.022017955780029297,True
BFS,18,9519,119,320,1.426868200302124,True
DFS,18,3580,3286,9174,0.6433353424072266,True
DFS_Limited,18,129,inf,inf,0.017420291900634766,False
UCS_1,18,9499,119,194,1.6000375747680664,True
UCS_2,18,9742,263,263,1.4751982688903809,True
Random,18,4,inf,inf,0.0,False
A*,18,350,90,219,0.0501708984375,True
BFS,19,258,12,28,0.039562225341796875,True
DFS,19,6856,6238,17242,2.301922559738159,True
DFS_Limited,19,124,inf,inf,0.018406391143798828,False
UCS_1,19,282,12,28,0.043827056884765625,True
UCS_2,19,361,28,28,0.0732419490814209,True
Random,19,1,inf,inf,0.0,False
A*,19,44,12,28,0.006615400314331055,True
BFS,20,2986,67,245,0.5165469646453857,True
DFS,20,6796,6244,17346,2.27996826171875,True
DFS_Limited,20,135,inf,inf,0.019414186477661133,False
UCS_1,20,2954,67,245,0.44884157180786133,True
UCS_2,20,3244,245,245,0.4900364875793457,True
Random,20,21,inf,inf,0.0,False
A*,20,88,67,245,0.012706518173217773,True
BFS,21,2157,45,172,0.3247506618499756,True
DFS,21,3087,2736,7608,0.5275235176086426,True
DFS_Limited,21,177,inf,inf,0.024181127548217773,False
UCS_1,21,2145,45,168,0.4386591911315918,True
UCS_2,21,3592,171,171,0.5874404907226562,True
Random,21,1,inf,inf,0.0,False
A*,21,106,45,171,0.01501321792602539,True
BFS,22,4168,66,113,0.6295948028564453,True
DFS,22,5725,5309,14601,1.4401617050170898,True
DFS_Limited,22,108,inf,inf,0.014508485794067383,False
UCS_1,22,4147,66,167,0.6121311187744141,True
UCS_2,22,2717,96,96,0.47730588912963867,True
Random,22,4,inf,inf,0.0,False
A*,22,174,41,72,0.024075984954833984,True
BFS,23,4907,53,161,0.8261950016021729,True
DFS,23,2818,2602,7255,0.5801911354064941,True
DFS_Limited,23,76,inf,inf,0.010627985000610352,False
UCS_1,23,4896,53,161,0.8210434913635254,True
UCS_2,23,5000,161,161,0.8733539581298828,True
Random,23,12,inf,inf,0.0009036064147949219,False
A*,23,93,53,161,0.017225027084350586,True
BFS,24,9952,159,241,1.6667027473449707,True
DFS,24,9630,8622,23714,5.8941969871521,True
DFS_Limited,24,118,inf,inf,0.02134990692138672,False
UCS_1,24,9945,158,244,1.6218032836914062,True
UCS_2,24,9908,228,228,1.6030104160308838,True
Random,24,1,inf,inf,0.0,False
A*,24,782,82,157,0.11310720443725586,True
BFS,25,8439,94,300,1.4177007675170898,True
DFS,25,747,662,1880,0.11455821990966797,True
DFS_Limited,25,160,inf,inf,0.031072139739990234,False
UCS_1,25,8421,94,300,1.328552484512329,True
UCS_2,25,8919,300,300,1.3277571201324463,True
Random,25,19,inf,inf,0.0010039806365966797,False
A*,25,578,94,300,0.08519339561462402,True
BFS,26,6225,68,91,0.9783926010131836,True
DFS,26,8268,7340,20258,3.4963386058807373,True
DFS_Limited,26,292,inf,inf,0.04259634017944336,False
UCS_1,26,6286,68,148,0.9078583717346191,True
UCS_2,26,5021,124,124,0.7758274078369141,True
Random,26,10,inf,inf,0.0,False
A*,26,416,66,131,0.05937314033508301,True
BFS,27,1902,35,53,0.33249783515930176,True
DFS,27,2496,2109,5939,0.4840381145477295,True
DFS_Limited,27,262,inf,inf,0.03674197196960449,False
UCS_1,27,1881,35,126,0.2980306148529053,True
UCS_2,27,4011,110,110,0.638777494430542,True
Random,27,6,inf,inf,0.0009951591491699219,False
A*,27,61,35,113,0.007731199264526367,True
BFS,28,4773,91,300,0.7364180088043213,True
DFS,28,5275,4685,13044,1.2403323650360107,True
DFS_Limited,28,77,inf,inf,0.00970602035522461,False
UCS_1,28,4809,91,300,0.7420182228088379,True
UCS_2,28,4392,300,300,0.6800179481506348,True
Random,28,15,inf,inf,0.0010018348693847656,False
A*,28,464,91,300,0.07417035102844238,True
BFS,29,3996,63,87,0.5989160537719727,True
DFS,29,3766,3529,9757,0.7341785430908203,True
DFS_Limited,29,146,inf,inf,0.019412994384765625,False
UCS_1,29,4004,63,122,0.6420085430145264,True
UCS_2,29,4347,103,103,0.6926884651184082,True
Random,29,2,inf,inf,0.0,False
A*,29,244,54,105,0.03476524353027344,True
