n,run,backtracking_time,backtracking_states,forward_checking_time,forward_checking_states
4,1,0.0,60,0.0,16
4,2,0.0,60,0.0,16
4,3,0.0,60,0.0,16
4,4,0.0,60,0.0,16
4,5,0.0,60,0.0,16
4,6,0.0,60,0.0,16
4,7,0.0,60,0.0,16
4,8,0.0,60,0.0,16
4,9,0.0,60,0.0,16
4,10,0.0,60,0.0,16
4,11,0.0,60,0.0,16
4,12,0.0,60,0.0,16
4,13,0.0,60,0.0,16
4,14,0.0,60,0.0,16
4,15,0.0009987354278564453,60,0.0,16
4,16,0.0,60,0.0,16
4,17,0.0,60,0.0,16
4,18,0.0,60,0.0,16
4,19,0.0,60,0.0,16
4,20,0.0,60,0.0,16
4,21,0.0,60,0.0,16
4,22,0.0,60,0.0,16
4,23,0.0,60,0.0,16
4,24,0.0,60,0.0,16
4,25,0.0,60,0.0,16
4,26,0.0,60,0.0,16
4,27,0.0,60,0.0,16
4,28,0.0,60,0.0,16
4,29,0.0,60,0.0,16
4,30,0.0,60,0.0,16
8,1,0.008505821228027344,15720,0.003999948501586914,1724
8,2,0.0075075626373291016,15720,0.003998517990112305,1724
8,3,0.007505893707275391,15720,0.0045049190521240234,1724
8,4,0.007004976272583008,15720,0.004510402679443359,1724
8,5,0.007998943328857422,15720,0.003511667251586914,1724
8,6,0.007510185241699219,15720,0.004506111145019531,1724
8,7,0.007516384124755859,15720,0.003999948501586914,1724
8,8,0.007512569427490234,15720,0.0039997100830078125,1724
8,9,0.007509469985961914,15720,0.004507780075073242,1724
8,10,0.007005214691162109,15720,0.004509449005126953,1724
8,11,0.0069997310638427734,15720,0.004511117935180664,1724
8,12,0.007508754730224609,15720,0.004002094268798828,1724
8,13,0.007505655288696289,15720,0.005001068115234375,1724
8,14,0.0075054168701171875,15720,0.004000186920166016,1724
8,15,0.008010625839233398,15720,0.0035021305084228516,1724
8,16,0.0070040225982666016,15720,0.004507541656494141,1724
8,17,0.007999420166015625,15720,0.0035059452056884766,1724
8,18,0.007504701614379883,15720,0.0040018558502197266,1724
8,19,0.007505893707275391,15720,0.005000114440917969,1724
8,20,0.006505727767944336,15720,0.00500035285949707,1724
8,21,0.007506847381591797,15720,0.003609895706176758,1724
8,22,0.007898569107055664,15720,0.004504680633544922,1724
8,23,0.007605075836181641,15720,0.00391387939453125,1724
8,24,0.008002758026123047,15720,0.004998922348022461,1724
8,25,0.0075070858001708984,15720,0.004001140594482422,1724
8,26,0.007506132125854492,15720,0.004502296447753906,1724
8,27,0.007004976272583008,15720,0.004506349563598633,1724
8,28,0.008506059646606445,15720,0.004009723663330078,1724
8,29,0.008510351181030273,15720,0.003998756408691406,1724
8,30,0.0075130462646484375,15720,0.003999471664428711,1724
10,1,0.18970584869384766,348150,0.08807778358459473,27832
10,2,0.1876659393310547,348150,0.07171511650085449,27832
10,3,0.18973112106323242,348150,0.07717561721801758,27832
10,4,0.19789624214172363,348150,0.08207821846008301,27832
10,5,0.1886134147644043,348150,0.07204890251159668,27832
10,6,0.18761396408081055,348150,0.07155799865722656,27832
10,7,0.184356689453125,348150,0.0710456371307373,27832
10,8,0.18641066551208496,348150,0.07252860069274902,27832
10,9,0.18356108665466309,348150,0.06998419761657715,27832
10,10,0.18399691581726074,348150,0.07154703140258789,27832
10,11,0.18761301040649414,348150,0.07154583930969238,27832
10,12,0.18561625480651855,348150,0.07034087181091309,27832
10,13,0.18801522254943848,348150,0.07149338722229004,27832
10,14,0.1846466064453125,348150,0.07054018974304199,27832
10,15,0.18660187721252441,348150,0.07157349586486816,27832
10,16,0.18639373779296875,348150,0.07191753387451172,27832
10,17,0.18509173393249512,348150,0.07354545593261719,27832
10,18,0.18542695045471191,348150,0.0713663101196289,27832
10,19,0.1859734058380127,348150,0.07151627540588379,27832
10,20,0.18834280967712402,348150,0.07097911834716797,27832
10,21,0.1937711238861084,348150,0.07169318199157715,27832
10,22,0.1859581470489502,348150,0.0710442066192627,27832
10,23,0.18922042846679688,348150,0.07062745094299316,27832
10,24,0.19172096252441406,348150,0.07163858413696289,27832
10,25,0.18970561027526855,348150,0.07230281829833984,27832
10,26,0.18610596656799316,348150,0.07065534591674805,27832
10,27,0.18769049644470215,348150,0.07262229919433594,27832
10,28,0.18694615364074707,348150,0.07067346572875977,27832
10,29,0.18867850303649902,348150,0.07219076156616211,27832
10,30,0.18758463859558105,348150,0.07099366188049316,27832
